#TYPE System.Collections.DictionaryEntry,,,
Name,Key,Value,
ETHEL PERCY ANDRUS GERONTOLOGY CENTER ,ETHEL PERCY ANDRUS GERONTOLOGY CENTER ,5,0.001045806
HEDCO NEUROSCIENCES BUILDING ,HEDCO NEUROSCIENCES BUILDING ,5,0.001045806
28TH ST & HOOVER ST ,28TH ST & HOOVER ST ,5,0.001045806
37TH PL & VERMONT AV ,37TH PL & VERMONT AV ,5,0.001045806
SOCIAL WORK CENTER ,SOCIAL WORK CENTER ,5,0.001045806
HAZARD PARK ,HAZARD PARK ,5,0.001045806
THETA XI ,THETA XI ,5,0.001045806
DONALD P. & KATHERINE B. LOKER HYDROCARBON INSTITU ,DONALD P. & KATHERINE B. LOKER HYDROCARBON INSTITU ,5,0.001045806
SHRINE PL ,SHRINE PL ,5,0.001045806
HUGHES AIRCRAFT ELECTRICAL ENGINEERING CENTER ,HUGHES AIRCRAFT ELECTRICAL ENGINEERING CENTER ,5,0.001045806
ALPHA DELTA PI ,ALPHA DELTA PI ,5,0.001045806
CLINICAL SCIENCE CENTER ,CLINICAL SCIENCE CENTER ,5,0.001045806
THE MUSIC COMPLEX ,THE MUSIC COMPLEX ,5,0.001045806
SCHOOL OF CINEMATIC ARTS-BLDG. I ,SCHOOL OF CINEMATIC ARTS-BLDG. I ,5,0.001045806
VIVIAN HALL OF ENGINEERING ,VIVIAN HALL OF ENGINEERING ,5,0.001045806
JEFFERSON BL ,JEFFERSON BL ,5,0.001045806
35TH ST ,35TH ST ,5,0.001045806
SOTO ST & ALCAZAR ST ,SOTO ST & ALCAZAR ST ,5,0.001045806
ALBERT S. RAUBENHEIMER MUSIC FACULTY MEMORIAL BUIL ,ALBERT S. RAUBENHEIMER MUSIC FACULTY MEMORIAL BUIL ,5,0.001045806
STARDUST APARTMENTS ,STARDUST APARTMENTS ,5,0.001045806
OLYMPIC GARDENS ,OLYMPIC GARDENS ,5,0.001045806
TROJAN PLAZA ,TROJAN PLAZA ,5,0.001045806
SEVEN GABLES APARTMENTS ,SEVEN GABLES APARTMENTS ,5,0.001045806
JEFFERSON BL & WALTON AV ,JEFFERSON BL & WALTON AV ,5,0.001045806
36TH ST & VERMONT AV ,36TH ST & VERMONT AV ,5,0.001045806
VALLEY WAREHOUSE BUILDING ,VALLEY WAREHOUSE BUILDING ,5,0.001045806
HERITAGE HALL ,HERITAGE HALL ,5,0.001045806
UNITED UNIVERSITY CHURCH ,UNITED UNIVERSITY CHURCH ,5,0.001045806
PARKING STRUCTURE ,PARKING STRUCTURE ,5,0.001045806
OFF CAMPUS CHECK AREA E ,OFF CAMPUS CHECK AREA E ,4,0.000836645
THE ROWAREA ,THE ROWAREA ,4,0.000836645
NORRIS TOPPING TOWERS ,NORRIS TOPPING TOWERS ,4,0.000836645
ELLENDALE TROJAN APTS. ,ELLENDALE TROJAN APTS. ,4,0.000836645
VERMONT AV ,VERMONT AV ,4,0.000836645
ADAMS BL & PORTLAND ST ,ADAMS BL & PORTLAND ST ,4,0.000836645
TOWN & GOWN ,TOWN & GOWN ,4,0.000836645
HERITAGE HALL WEIGHT AND DINING FACILITY ,HERITAGE HALL WEIGHT AND DINING FACILITY ,4,0.000836645
SAN PABLO ST & ALCAZAR ST ,SAN PABLO ST & ALCAZAR ST ,4,0.000836645
PANDA EXPRESS ,PANDA EXPRESS ,4,0.000836645
HARLYNE J. NORRIS RESEARCH TOWER ,HARLYNE J. NORRIS RESEARCH TOWER ,4,0.000836645
DAVID X. MARKS TENNIS STADIUM ,DAVID X. MARKS TENNIS STADIUM ,4,0.000836645
JOHN HUBBARD HALL ,JOHN HUBBARD HALL ,4,0.000836645
SUBWAY ,SUBWAY ,4,0.000836645
GLORYA KAUFMAN INTERNATIONAL DANCE CENTER ,GLORYA KAUFMAN INTERNATIONAL DANCE CENTER ,4,0.000836645
BANK OF AMERICA ,BANK OF AMERICA ,4,0.000836645
SIGMA CHI ,SIGMA CHI ,4,0.000836645
EXPOSITION BL & VERMONT AV ,EXPOSITION BL & VERMONT AV ,4,0.000836645
STONIER HALL ,STONIER HALL ,4,0.000836645
MRS. WILLIS H. BOOTH FERRIS REHEARSAL HALL ,MRS. WILLIS H. BOOTH FERRIS REHEARSAL HALL ,4,0.000836645
GAMMA EPSILON OMEGA ,GAMMA EPSILON OMEGA ,4,0.000836645
ADAMS BL & FLOWER ST ,ADAMS BL & FLOWER ST ,4,0.000836645
USC CREDIT UNION BUILDING ,USC CREDIT UNION BUILDING ,4,0.000836645
PARKING LOT L ,PARKING LOT L ,4,0.000836645
OUTPATIENT SURGERY CENTER ,OUTPATIENT SURGERY CENTER ,4,0.000836645
35TH ST & HOPE ST ,35TH ST & HOPE ST ,4,0.000836645
MENLO APARTMENTS ,MENLO APARTMENTS ,4,0.000836645
FACILITIES TRAILER TWO ,FACILITIES TRAILER TWO ,4,0.000836645
MARDETTE APTS. ,MARDETTE APTS. ,4,0.000836645
35TH ST & CATALINA ST ,35TH ST & CATALINA ST ,4,0.000836645
BRIDGE MEMORIAL HALL ,BRIDGE MEMORIAL HALL ,4,0.000836645
JUVENILE HALL ,JUVENILE HALL ,4,0.000836645
SPUDNUTS ,SPUDNUTS ,4,0.000836645
BLOOM WK & WATT WY ,BLOOM WK & WATT WY ,4,0.000836645
PHI DELTA THETA ,PHI DELTA THETA ,4,0.000836645
TRANSPORTATION MAINTENANCE YARD ,TRANSPORTATION MAINTENANCE YARD ,4,0.000836645
KATHERINE B. LOKER TRACK STADIUM ,KATHERINE B. LOKER TRACK STADIUM ,4,0.000836645
UNIVERSITY GARDEN APTS ,UNIVERSITY GARDEN APTS ,4,0.000836645
UNIVERSITY CLUB AT KING STOOPS HALL ,UNIVERSITY CLUB AT KING STOOPS HALL ,4,0.000836645
MCCULLOCK TOWNHOMES ,MCCULLOCK TOWNHOMES ,3,0.000627484
23RD ST & PORTLAND ST ,23RD ST & PORTLAND ST ,3,0.000627484
KAPPA ALPHA THETA ,KAPPA ALPHA THETA ,3,0.000627484
30TH ST & MCCLINTOCK AV ,30TH ST & MCCLINTOCK AV ,3,0.000627484
28TH ST & SEVERANCE ST ,28TH ST & SEVERANCE ST ,3,0.000627484
37TH ST & CATALINA ST ,37TH ST & CATALINA ST ,3,0.000627484
PARKING LOT ,PARKING LOT ,3,0.000627484
37TH PL & CATALINA ST ,37TH PL & CATALINA ST ,3,0.000627484
ELAINE & KENNETH LEVENTHAL SCHOOL OF ACCOUNTING ,ELAINE & KENNETH LEVENTHAL SCHOOL OF ACCOUNTING ,3,0.000627484
COLLEGE ACADEMIC SERVICES BUILDING ,COLLEGE ACADEMIC SERVICES BUILDING ,3,0.000627484
28TH ST & PORTLAND ST ,28TH ST & PORTLAND ST ,3,0.000627484
FAIRMONT APARTMENTS ,FAIRMONT APARTMENTS ,3,0.000627484
HABITAT SOO ZEE ,HABITAT SOO ZEE ,3,0.000627484
29TH ST & VERMONT AV ,29TH ST & VERMONT AV ,3,0.000627484
35TH ST & BUDLONG AV ,35TH ST & BUDLONG AV ,3,0.000627484
29TH ST & MENLO AV ,29TH ST & MENLO AV ,3,0.000627484
CARL'S JR. ,CARL'S JR. ,3,0.000627484
32ND ST & UNIVERSITY AV ,32ND ST & UNIVERSITY AV ,3,0.000627484
ADAMS BL & TOBERMAN ST ,ADAMS BL & TOBERMAN ST ,3,0.000627484
36TH PL & CATALINA ST ,36TH PL & CATALINA ST ,3,0.000627484
JEFFERSON BL & FLOWER ST ,JEFFERSON BL & FLOWER ST ,3,0.000627484
DELTA DELTA DELTA ,DELTA DELTA DELTA ,3,0.000627484
MUDD MEMORIAL RESEARCH BUILDING ,MUDD MEMORIAL RESEARCH BUILDING ,3,0.000627484
CHARLES LEE POWELL HALL ,CHARLES LEE POWELL HALL ,3,0.000627484
21ST ST ,21ST ST ,3,0.000627484
SEVERANCE ST APARTMENTS ,SEVERANCE ST APARTMENTS ,3,0.000627484
ADAMS BL & ST JAMES PL ,ADAMS BL & ST JAMES PL ,3,0.000627484
SEVERANCE ST ,SEVERANCE ST ,3,0.000627484
CHILDS WY & PARDEE WY ,CHILDS WY & PARDEE WY ,3,0.000627484
SMART & FINAL ,SMART & FINAL ,3,0.000627484
THE ROW SOUTH ALLEY ,THE ROW SOUTH ALLEY ,3,0.000627484
SOCIAL SCIENCES BUILDING ,SOCIAL SCIENCES BUILDING ,3,0.000627484
